raw_mag_x,raw_mag_y,raw_mag_z
2109,936,2111
2109,936,2111
2109,936,2111
2109,936,2111
2109,936,2111
2109,936,2111
1868,966,2330
1868,966,2330
1868,966,2330
1868,966,2330
1868,966,2330
1868,966,2330
1868,966,2330
1717,1050,2563
1717,1050,2563
1717,1050,2563
1717,1050,2563
1717,1050,2563
1717,1050,2563
1717,1050,2563
1604,992,2745
1604,992,2745
1604,992,2745
1604,992,2745
1604,992,2745
1604,992,2745
1604,992,2745
1355,965,2833
1355,965,2833
1355,965,2833
1355,965,2833
1355,965,2833
1355,965,2833
1355,965,2833
1429,936,2864
1429,936,2864
1429,936,2864
1429,936,2864
1429,936,2864
1429,936,2864
1429,936,2864
963,758,3277
963,758,3277
963,758,3277
963,758,3277
963,758,3277
963,758,3277
963,758,3277
-430,304,3592
-430,304,3592
